岗位名称,公司名称,薪资,工作地点,学历,经验,融资情况,公司规模,福利待遇,发布日期,详情页
Python高级开发工程师,上海网杉信息技术有限公司,1.5-3万,深圳-南山区,本科,3-4年经验,民营,150-500人,五险一金 补充医疗保险 定期体检 绩效奖金 年终奖金 弹性工作,11-02,https://jobs.51job.com/shenzhen-nsq/143286594.html?s=sou_sou_soulb&t=0_0
Python开发软件主管,安序源生物科技（深圳）有限公司,3-4万,深圳-南山区,本科,10年以上经验,外资（欧美）,少于50人,五险一金 周末双休 专业培训 年终奖金 绩效奖金 节日福利,11-02,https://jobs.51job.com/shenzhen-nsq/143594457.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市东晟数据有限公司,1.2-2万,深圳-南山区,大专,3-4年经验,民营,50-150人,五险一金 扁平管理 团队气氛佳 福利待遇好 年终奖金,11-01,https://jobs.51job.com/shenzhen-nsq/139345904.html?s=sou_sou_soulb&t=0_0
Python开发工程师（自动化测试方向）,深圳达实物联网技术有限公司,1.5-3万,深圳-南山区,大专,2年经验,已上市,500-1000人,五险一金 员工旅游 股票期权 绩效奖金 专业培训 定期体检 弹性工作,10-31,https://jobs.51job.com/shenzhen-nsq/128482674.html?s=sou_sou_soulb&t=0_0
Python开发实习生6K起,上海裴宇网络服务有限公司,6-8千,深圳-南山区,大专,无需经验,民营,50-150人,,10-28,https://jobs.51job.com/shenzhen-nsq/140024914.html?s=sou_sou_soulb&t=0_0
Python后端研发工程师(J10814),广州嘉为科技有限公司,1-2万,深圳-福田区,本科,2年经验,民营,500-1000人,,11-19,https://jobs.51job.com/shenzhen-ftq/144009325.html?s=sou_sou_soulb&t=0_0
C/C++/Java/Python开发工程师,上海兆殷特科技有限公司,1.5-3万,杭州,本科,无需经验,民营,150-500人,,10-23,https://jobs.51job.com/hangzhou/142659636.html?s=sou_sou_soulb&t=0_1
Python开发工程师,富满微电子集团股份有限公司,1-1.6万,深圳-宝安区,大专,3-4年经验,已上市,500-1000人,五险一金 员工旅游 员工宿舍 带薪年假 绩效奖金 节日福利 通讯补贴,10-21,https://jobs.51job.com/shenzhen-baq/137208833.html?s=sou_sou_soulb&t=0_0
Python爬虫工程师 跨境电商,深圳市宝视佳科技有限公司,1-1.8万,深圳-龙华区,大专,1年经验,民营,1000-5000人,节日福利 全勤奖 绩效奖金 员工旅游 生日活动 带薪年假,11-15,https://jobs.51job.com/shenzhen-lhq/143269168.html?s=sou_sou_soulb&t=0_0
Python爬虫工程师,深圳市中海通物流股份有限公司,1-2万,深圳,本科,2年经验,民营,150-500人,,11-08,https://jobs.51job.com/shenzhen/143756108.html?s=sou_sou_soulb&t=0_0
Python开发工程师,上海兆殷特科技有限公司,1.4-2.8万,深圳,本科,无需经验,民营,150-500人,,10-23,https://jobs.51job.com/shenzhen/138904376.html?s=sou_sou_soulb&t=0_0
Python工程师,深圳市宝锋华诚科技有限公司,8千-1.5万,深圳-南山区,本科,1年经验,民营,少于50人,交通补贴 餐饮补贴 通讯补贴 年终奖金 股票期权 弹性工作 周末双休,11-07,https://jobs.51job.com/shenzhen-nsq/141932057.html?s=sou_sou_soulb&t=0_0
Python算法应用工程师 (MJ000598),深圳思谋信息科技有限公司,2-3万・15薪,深圳-南山区,本科,无需经验,外资（非欧美）,500-1000人,五险一金 绩效奖金 年终奖金 定期体检 专业培训,11-07,https://jobs.51job.com/shenzhen-nsq/140643508.html?s=sou_sou_soulb&t=0_0
Python爬虫工程师,深圳市亚声威格科技有限公司,1.2-2万,深圳,本科,3-4年经验,民营,150-500人,五险一金 绩效奖金 定期体检 员工旅游 年终奖金,11-06,https://jobs.51job.com/shenzhen/143662305.html?s=sou_sou_soulb&t=0_0
Python实习生/提供住宿,深圳市铭凯达网络科技有限公司,8千-1万,深圳-宝安区,本科,1年经验,民营,50-150人,五险一金 年终奖金 员工旅游 定期体检 周末双休 朝九晚六 节日福利,10-31,https://jobs.51job.com/shenzhen-baq/138000030.html?s=sou_sou_soulb&t=0_0
Python爬虫,四川西南联盛通讯技术有限公司深圳市分公司,1.1-1.5万,深圳-南山区,大专,3-4年经验,民营,1000-5000人,五险一金 专业培训 定期体检,10-30,https://jobs.51job.com/shenzhen-nsq/143499757.html?s=sou_sou_soulb&t=0_0
协作机器人控制器软件开发主管,深圳市泰科智能机器人有限公司,2-4万・16薪,深圳-南山区,硕士,5-7年经验,民营,50-150人,五险一金 绩效奖金 年终奖金 专业培训 弹性工作,12-20,https://jobs.51job.com/shenzhen-nsq/130901516.html?s=sou_sou_soulb&t=0_0
对日高级软件开发工程师,上海网擎信息系统有限公司,1.6-3.2万,上海,本科,3-4年经验,民营,,,12-20,https://jobs.51job.com/shanghai-ypq/143158384.html?s=sou_sou_soulb&t=0_1
测试开发工程师,深圳市智慧海洋科技有限公司,1-1.5万・13薪,深圳-南山区,本科,1年经验,民营,50-150人,五险一金 补充公积金 补充医疗保险 通讯补贴 出国机会 专业培训 绩效奖金 年终奖金 股票期权 定期体检,12-20,https://jobs.51job.com/shenzhen-nsq/141376886.html?s=sou_sou_soulb&t=0_0
大数据ETL开发工程师,深圳市华安众创科技有限公司,1-1.5万,深圳-龙岗区,本科,1年经验,民营,50-150人,五险一金 绩效奖金 年终奖金 员工旅游 弹性工作 提供住宿 早九晚六 周末双休 不加班 项目奖金,12-20,https://jobs.51job.com/shenzhen-lgq/141697017.html?s=sou_sou_soulb&t=0_0
大数据开发工程师助理,贵州开阔科技有限公司,8千-1.2万,深圳-宝安区,大专,无需经验,民营,,五险一金 年终奖金 定期体检,12-19,https://jobs.51job.com/shenzhen-baq/143516018.html?s=sou_sou_soulb&t=0_0
测试工程师 测试开发工程师 Test Engineer,上海帝博企业管理咨询有限公司,2-3.5万・15薪,深圳,本科,10年以上经验,外资（欧美）,少于50人,五险一金 员工旅游 出国机会 专业培训 通讯补贴 绩效奖金 年终奖金 定期体检,12-20,https://jobs.51job.com/shenzhen/140421185.html?s=sou_sou_soulb&t=0_0
系统开发工程师,富士康科技集团,1-2万・13薪,深圳-龙华区,本科,3-4年经验,外资（非欧美）,10000人以上,五险一金 带薪年假 节日福利 绩效奖金 定期体检,12-20,https://jobs.51job.com/shenzhen-lhq/141757559.html?s=sou_sou_soulb&t=0_0
嵌入式软件开发高级工程师,广东正扬传感科技股份有限公司,1.8-3万・13薪,深圳-龙华区,本科,3-4年经验,外资（非欧美）,5000-10000人,五险一金 专业培训 年终奖金 带薪年假 节日福利 岗位晋升 包住宿 绩效奖金 全勤奖,12-19,https://jobs.51job.com/shenzhen-lhq/142053292.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,贵州开阔科技有限公司,7千-1.1万,深圳-宝安区,大专,无需经验,民营,,五险一金 年终奖金 定期体检,12-19,https://jobs.51job.com/shenzhen-baq/144113514.html?s=sou_sou_soulb&t=0_0
Java前端开发工程师,深圳市平行线科技有限公司,3千/天,深圳-南山区,本科,3-4年经验,民营,,五险一金 带薪年假 节日福利,12-16,https://jobs.51job.com/shenzhen-nsq/144690838.html?s=sou_sou_soulb&t=0_0
软件开发工程师,富士康科技集团,1-2万,深圳-龙华区,本科,3-4年经验,外资（非欧美）,10000人以上,五险一金 带薪年假 节日福利 绩效奖金 年终奖金,12-20,https://jobs.51job.com/shenzhen-lhq/141828592.html?s=sou_sou_soulb&t=0_0
ERP开发工程师,百芯智能制造科技（深圳）有限公司,1.3-1.6万,深圳-宝安区,大专,3-4年经验,民营,50-150人,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作 加班补贴 交通补贴 带薪年假,12-19,https://jobs.51job.com/shenzhen-baq/131611829.html?s=sou_sou_soulb&t=0_0
C++开发工程师,淘贝（深圳）网络科技有限公司,2-3.5万,深圳-龙岗区,大专,3-4年经验,民营,50-150人,免费班车 五险一金 年终奖金 绩效奖金 大小周,12-16,https://jobs.51job.com/shenzhen-lgq/143715901.html?s=sou_sou_soulb&t=0_0
数据开发工程师,深圳市同和信息技术有限公司,1-1.5万,深圳-南山区,本科,3-4年经验,民营,1000-5000人,五险一金,12-16,https://jobs.51job.com/shenzhen-nsq/144007640.html?s=sou_sou_soulb&t=0_0
后端开发工程师,珠高电气检测有限公司,1.5-2万・15薪,深圳-南山区,本科,2年经验,民营,50-150人,五险一金 定期体检 年终奖金 绩效奖金 专业培训 周末双休,12-20,https://jobs.51job.com/shenzhen-nsq/140334881.html?s=sou_sou_soulb&t=0_0
C++中高级开发工程师,深圳市法本信息技术股份有限公司,1.5-1.8万,深圳-南山区,大专,3-4年经验,已上市,10000人以上,五险一金 定期体检 专业培训 员工旅游,12-20,https://jobs.51job.com/shenzhen-nsq/143978204.html?s=sou_sou_soulb&t=0_0
测试开发,上海兆殷特科技有限公司,1.5-3万,深圳,本科,无需经验,民营,150-500人,五险一金 免费班车 弹性工作 年终奖金 绩效奖金,12-18,https://jobs.51job.com/shenzhen/144788567.html?s=sou_sou_soulb&t=0_0
ROS开发工程师,乐聚（深圳）机器人技术有限公司,1-1.5万,深圳-南山区,大专,1年经验,民营,150-500人,五险一金 年终奖金 绩效奖金 餐饮补贴,12-10,https://jobs.51job.com/shenzhen-nsq/144624830.html?s=sou_sou_soulb&t=0_0
ERP开发工程师,深圳市双翼科技股份有限公司,9千-1万,深圳,大专,1年经验,民营,1000-5000人,五险一金 员工旅游 餐饮补贴 年终奖金 带薪年假 节日福利 提供住宿 内部晋升 周末双休 外宿补助,12-16,https://jobs.51job.com/shenzhen/140511099.html?s=sou_sou_soulb&t=0_0
Java开发工程师,深圳高度创新技术有限公司,1.8-2.3万,深圳-龙岗区,本科,3-4年经验,民营,50-150人,五险一金 专业培训,12-20,https://jobs.51job.com/shenzhen-lgq/144076595.html?s=sou_sou_soulb&t=0_0
生产工具开发工程师,北京易捷保网络技术有限公司,1.8-2.8万,深圳-龙华区,本科,3-4年经验,民营,150-500人,五险一金 节假日福利 专业培训 月休6天 年终奖金,12-19,https://jobs.51job.com/shenzhen-lhq/142276222.html?s=sou_sou_soulb&t=0_0
高级/软件开发工程师,现代牙科技术（东莞）有限公司,2-3.5万,东莞,本科,5-7年经验,外资（非欧美）,1000-5000人,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 周末双休 节庆福利 包住 外宿补贴 加班补助,12-20,https://jobs.51job.com/dongguan-sshq/142061984.html?s=sou_sou_soulb&t=0_1
大数据开发工程师（双休）,深圳市智云讯科数据技术有限公司,1-1.5万,深圳-罗湖区,本科,5-7年经验,民营,少于50人,五险一金 专业培训 双休,12-20,https://jobs.51job.com/shenzhen-luohuqu/141089551.html?s=sou_sou_soulb&t=0_0
NVR/DVR高级软件开发工程师,深圳市美安科技有限公司,2.5-3.5万・14薪,深圳-龙岗区,本科,5-7年经验,合资,150-500人,包吃包住 五险 项目奖 加班补贴 弹性工作 年终奖金 产品分成,12-20,https://jobs.51job.com/shenzhen-lgq/141793712.html?s=sou_sou_soulb&t=0_0
游戏客户端开发工程师,深圳市火星人互动娱乐有限公司,1-1.5万,深圳-宝安区,本科,2年经验,民营,少于50人,五险一金 年终奖金 员工旅游 每日零食 年底双薪 出国机会 专业培训 绩效奖金 餐饮补贴 交通补贴,12-20,https://jobs.51job.com/shenzhen-baq/142213613.html?s=sou_sou_soulb&t=0_0
爬虫开发工程师（会java）,成都迈思信息技术有限公司,1-1.5万,深圳,大专,2年经验,民营,1000-5000人,五险一金 年终奖金 员工旅游 节日福利 周末双休,12-20,https://jobs.51job.com/shenzhen/102884773.html?s=sou_sou_soulb&t=0_0
数据报表分析/开发工程师,珠海横琴好唱文化投资管理集团有限公司,2-4万,深圳-南山区,大专,2年经验,民营,1000-5000人,弹性工作 带薪年假 五险一金 节日福利 餐饮补贴 双休,12-20,https://jobs.51job.com/shenzhen-nsq/132323503.html?s=sou_sou_soulb&t=0_0
高级开发工程师（后端）,深圳市守中投资有限公司,2-2.8万,深圳-福田区,大专,5-7年经验,民营,500-1000人,五险一金 餐饮补贴 绩效奖金 年终奖金 弹性工作 专业培训,12-19,https://jobs.51job.com/shenzhen-ftq/140820303.html?s=sou_sou_soulb&t=0_0
Linux开发工程师,深圳智空未来信息技术有限公司,8千-1万,深圳-南山区,本科,2年经验,创业公司,少于50人,五险一金 员工旅游 弹性工作 绩效奖金 专业培训 餐饮补贴,11-20,https://jobs.51job.com/shenzhen-nsq/144049924.html?s=sou_sou_soulb&t=0_0
it运维开发工程师（银行+稳定福利）,深圳市汇合发展有限公司,1.1-1.7万,深圳-南山区,本科,3-4年经验,民营,5000-10000人,五险一金 绩效奖金 年终奖金 员工旅游,12-17,https://jobs.51job.com/shenzhen-nsq/144769148.html?s=sou_sou_soulb&t=0_0
电子商城程序开发员,深圳市特力微科技有限公司,6-8千,深圳-福田区,大专,5-7年经验,民营,少于50人,,12-20,https://jobs.51job.com/shenzhen-ftq/144103904.html?s=sou_sou_soulb&t=0_0
后端开发负责人,广州雅米科技有限公司,2-4万,深圳-南山区,本科,3-4年经验,民营,少于50人,五险一金 年终奖金 交通补贴 定期体检 弹性工作 绩效奖金 员工旅游 出国机会,12-20,https://jobs.51job.com/shenzhen-nsq/143347724.html?s=sou_sou_soulb&t=0_0
武汉UE4开发工程师,武汉八维时空信息技术股份有限公司,1-2万,武汉,本科,3-4年经验,民营,50-150人,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作 周末双休 带薪年假 节日福利 股票期权 节假日补贴,12-19,https://jobs.51job.com/wuhan-wcq/143676301.html?s=sou_sou_soulb&t=0_1
机器视觉开发工程师,深圳市富瑞姆机器视觉技术有限公司,1.1-2万,深圳-龙华区,本科,3-4年经验,民营,150-500人,五险一金 全勤奖 节日福利 年底双薪 带薪年假 绩效奖金 包吃住 油费补贴 弹性工作 专业培训,12-06,https://jobs.51job.com/shenzhen-lhq/142003920.html?s=sou_sou_soulb&t=0_0
golang开发工程师,深圳市一航网络信息技术有限公司,1.5-2.5万,深圳-南山区,大专,3-4年经验,民营,少于50人,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作 周末双休 通讯补贴,12-09,https://jobs.51job.com/shenzhen-nsq/137910189.html?s=sou_sou_soulb&t=0_0
软件开发工程师,比亚迪股份有限公司,1-1.8万,深圳-龙岗区,本科,2年经验,民营,10000人以上,带薪年假 五险一金 节日福利,12-09,https://jobs.51job.com/shenzhen-lgq/144172163.html?s=sou_sou_soulb&t=0_0
资深金融应用开发工程师（佛山桂城上班，提供住宿）,广东天波信息技术股份有限公司,2-3.5万,佛山,本科,5-7年经验,民营,500-1000人,五险一金 提供住宿 工作午餐 专业培训 定期团建 节日福利,12-20,https://jobs.51job.com/foshan/144085348.html?s=sou_sou_soulb&t=0_1
软件开发工程师,兄弟高科技（深圳）有限公司,6-8千,深圳-龙岗区,本科,1年经验,外资（非欧美）,1000-5000人,五险一金 员工旅游 年终奖金 绩效奖金 出国机会 专业培训 餐饮补贴 定期体检,12-04,https://jobs.51job.com/shenzhen-lgq/142842418.html?s=sou_sou_soulb&t=0_0
数据平台软件开发工程师,深圳市速腾聚创科技有限公司,2-4万,深圳-南山区,本科,3-4年经验,民营,500-1000人,五险一金 周末双休 年终奖金 定期体检 员工旅游 专业培训,12-20,https://jobs.51job.com/shenzhen-nsq/144286840.html?s=sou_sou_soulb&t=0_0
软件开发工程师,鹏鼎控股（深圳）股份有限公司,8千-1万,深圳-宝安区,本科,1年经验,外资（非欧美）,10000人以上,五险一金 专业培训 绩效奖金 年终奖金 定期体检,12-16,https://jobs.51job.com/shenzhen-baq/144358941.html?s=sou_sou_soulb&t=0_0
高级安卓开发工程师,深圳云卓科通信息技术有限公司,2.5-3.5万,深圳-南山区,本科,3-4年经验,民营,,五险一金 绩效奖金 年终奖金 员工旅游 补充医疗保险 定期体检,12-01,https://jobs.51job.com/shenzhen-nsq/142921533.html?s=sou_sou_soulb&t=0_0
Java开发工程师,深圳原世界科技有限公司,1.2-2.4万,深圳-南山区,本科,5-7年经验,民营,150-500人,员工旅游 带薪年假 周末双休 节日福利 五险一金,12-20,https://jobs.51job.com/shenzhen-nsq/136803487.html?s=sou_sou_soulb&t=0_0
机器学习与人工智慧应用开发工程师/资深工程师,智磊科技（深圳）有限公司,1.5-2.5万,深圳-福田区,本科,3-4年经验,外资（欧美）,少于50人,五险一金 年终奖金 周末双休,12-05,https://jobs.51job.com/shenzhen-ftq/137528302.html?s=sou_sou_soulb&t=0_0
Java开发工程师,兄弟高科技（深圳）有限公司,6-8千,深圳-龙岗区,本科,1年经验,外资（非欧美）,1000-5000人,五险一金 员工旅游 年终奖金 绩效奖金 出国机会 专业培训 餐饮补贴 定期体检,12-04,https://jobs.51job.com/shenzhen-lgq/142844818.html?s=sou_sou_soulb&t=0_0
数据开发工程师,深圳市同和信息技术有限公司,1-1.5万,深圳-罗湖区,本科,3-4年经验,民营,1000-5000人,五险一金,12-16,https://jobs.51job.com/shenzhen-luohuqu/144007548.html?s=sou_sou_soulb&t=0_0
主任/高级系统开发工程师（机器视觉）,比亚迪股份有限公司,2-4万,深圳,本科,2年经验,民营,10000人以上,五险一金 绩效奖金 专业培训 全勤奖 包住宿,12-10,https://jobs.51job.com/shenzhen/143647365.html?s=sou_sou_soulb&t=0_0
网站开发程序员,深圳市特力微科技有限公司,6.5-8.5千,深圳-福田区,大专,1年经验,民营,少于50人,,12-20,https://jobs.51job.com/shenzhen-ftq/144153719.html?s=sou_sou_soulb&t=0_0
C++软件开发工程师,兄弟高科技（深圳）有限公司,6-8千,深圳-龙岗区,本科,1年经验,外资（非欧美）,1000-5000人,五险一金 员工旅游 年终奖金 绩效奖金 出国机会 专业培训 餐饮补贴 定期体检,12-04,https://jobs.51job.com/shenzhen-lgq/142843477.html?s=sou_sou_soulb&t=0_0
Ruby开发工程师,深圳市英博伟业科技有限公司,1.1-1.5万・13薪,深圳-罗湖区,大专,2年经验,民营,150-500人,五险一金 员工旅游 年终奖金 定期体检 项目奖,12-01,https://jobs.51job.com/shenzhen-luohuqu/142215012.html?s=sou_sou_soulb&t=0_0
软件开发主管,深圳市格瑞普电池有限公司,1.2-2万,深圳-龙华区,本科,5-7年经验,民营,1000-5000人,五险一金 餐饮补贴 专业培训 弹性工作 定期体检 绩效奖金 节假日福利 团体活动丰富 项目奖金 快速晋升,12-06,https://jobs.51job.com/shenzhen-lhq/143976210.html?s=sou_sou_soulb&t=0_0
C/C++开发工程（加班少，假期多，双休）,深圳市睿服科技有限公司,1.3-1.8万,深圳-南山区,本科,3-4年经验,民营,1000-5000人,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 员工体检,12-19,https://jobs.51job.com/shenzhen-nsq/144086115.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师,深圳光汇石油集团股份有限公司,2.5-4万,深圳-福田区,本科,5-7年经验,已上市,1000-5000人,五险一金 年终奖金 绩效奖金 包餐 带薪年假 包住,12-16,https://jobs.51job.com/shenzhen-ftq/143636907.html?s=sou_sou_soulb&t=0_0
AI 开发工程师,联丰商业集团有限公司,1.5-2.5万,东莞,本科,2年经验,外资（非欧美）,10000人以上,岗位津贴 食宿补贴 带薪法定假 五险一金 绩效年终奖 旺季生产奖 健康检查 子女就学福利 康乐设施 周末双休,12-08,https://jobs.51job.com/dongguan-fgz/142165188.html?s=sou_sou_soulb&t=0_1
软件开发工程师,深圳市欣智旺电子有限公司,1.1-1.5万,深圳-宝安区,本科,2年经验,民营,1000-5000人,五险一金 绩效奖金,12-17,https://jobs.51job.com/shenzhen-baq/144240105.html?s=sou_sou_soulb&t=0_0
资深金融应用开发工程师（佛山桂城上班，提供住宿）,广东天波信息技术股份有限公司,1.5-3万,佛山,本科,5-7年经验,民营,500-1000人,五险一金 提供住宿 工作午餐 专业培训 定期团建 节日福利,12-16,https://jobs.51job.com/foshan/144120780.html?s=sou_sou_soulb&t=0_1
机器视觉开发工程师/视觉工程师,深圳市行知行机器人技术有限公司,1.6-3万,深圳-宝安区,本科,2年经验,民营,50-150人,五险一金 年终奖金 餐饮补贴 节日礼品 股票期权 专业培训 绩效奖金 员工旅游,12-19,https://jobs.51job.com/shenzhen-baq/138447090.html?s=sou_sou_soulb&t=0_0
IT开发岗,深南电路股份有限公司,1-2万,深圳-龙岗区,大专,3-4年经验,国企,5000-10000人,五险一金 餐饮补贴 年终奖金 包住宿 节日福利 绩效奖金 通讯补贴,12-06,https://jobs.51job.com/shenzhen-lgq/143334900.html?s=sou_sou_soulb&t=0_0
运维开发工程师（加班少，双休）,深圳市睿服科技有限公司,2.2-3.2万,深圳-南山区,本科,5-7年经验,民营,1000-5000人,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 员工体检,12-19,https://jobs.51job.com/shenzhen-nsq/141706603.html?s=sou_sou_soulb&t=0_0
高级软件测试开发工程师,广州雅米科技有限公司,3-5万,深圳-南山区,本科,5-7年经验,民营,少于50人,五险一金 员工旅游 出国机会 年终奖金 绩效奖金 弹性工作 定期体检 通讯补贴,12-20,https://jobs.51job.com/shenzhen-nsq/138884250.html?s=sou_sou_soulb&t=0_0
